id	flds
1748689334859	สวัสดี	sawàtdii	Hello		[sound:Hello_0b7bdb.mp3]	
1748689334861	สบายดีไหม	sabaay dii máy	How are you?		[sound:How are you__231ed3.mp3]	
1748689334863	ขอบคุณ	khòb khun	Thank you		[sound:Thank you_da7934.mp3]	
1748689334865	ขอโทษ	khăo thôot	I'm sorry, I'm sorry.		[sound:I'm sorry, I'm sorry._cc3aeb.mp3]	
1748689334867	ไม่เป็นไร	mâi pen ray	It's okay/You're welcome		[sound:It's okay_5149be.mp3]	
1748689334869	ยินดีที่ได้รู้จัก	yin dii thîi dâi rúu càk	Hi		[sound:Hi_29480b.mp3]	
1748689334871	ชื่ออะไร	chʉ̂ʉ aray	What's your name?		[sound:What's your name__5bc2d5.mp3]	
1748689334873	อายุเท่าไร	aayú thâwray	What is your age?		[sound:What is your age__5f2b79.mp3]	
1748689334875	อายุ30ปี	aayú săam sìp pii	I'm 30 years old		[sound:I'm 30 years old_594761.mp3]	
1748689334877	ยินดีด้วย	yindii dûay	Congratulations		[sound:Congratulations_4286ca.mp3]	
1748689334879	เป็นยังไงบ้าง	pen yanŋay bâaŋ	What's Up		[sound:What's Up_c042f0.mp3]	
1748689334881	เรื่อย ๆ	rûay rûay	- So-so.		[sound:- So-so._c6d0c0.mp3]	
1748689334883	เป็นอะไร	pen aray	What’s the Deal?		[sound:What’s the Deal__043fcf.mp3]	
1748689334885	ปวดท้อง	pùat thɔ́ɔng	I have a stomach-ache.		[sound:I have a stomach-ache._cf6abb.mp3]	
1748689334887	ไม่มีอะไร	mây mii aray	- Resignation letter? 		[sound:- Resignation letter_ _38b300.mp3]	
1748689334889	เจอกันใหม่	cəə kan mày	I have a feeling we'll be seeing you again.		[sound:I have a feeling we'll be seeing you again._bceb89.mp3]	
1748689334891	เจอกันพรุ่งนี้	cəə kan phrûŋ nîi	Tomorrow again		[sound:Tomorrow again_15b720.mp3]	
1748689334893	เข้าใจแล้ว	khâwcay léeo	Sounds good		[sound:Sounds good_cab8ce.mp3]	
1748689334895	ไม่เข้าใจ	mây khâwcay	I don't know		[sound:I don't know_ca9708.mp3]	
1748689334897	พูดภาษาไทยไม่ได้	phûut phaasǎa thay mâi dâai	I don't speak Thai		[sound:I don't speak Thai_0a0302.mp3]	
1748689334899	พูดได้นิดหน่อย	phûut dâay nít nòy	I can talk a little bit.		[sound:I can talk a little bit._815108.mp3]	
1748689334901	ไม่ใช่คนไทย	mây chây khon thay	I am not Thai		[sound:I am not Thai_cc18c1.mp3]	
1748689334903	คนญี่ปุ่น	khon yîipùn	I'm Japanese		[sound:I'm Japanese_cb7ebb.mp3]	
1748689334905	กินข้าวแล้วหรือยัง	kin khâaw léeaw rʉ̂ʉ yang	Have you eaten yet?		[sound:Have you eaten yet__4c0028.mp3]	
1748689334907	กินแล้ว	kin léew	I already ate.		[sound:I already ate._b32aa4.mp3]	
1748689334909	ยังไม่ได้กิน	yan mây dây kin	I haven't eaten yet		[sound:I haven't eaten yet_6d90e4.mp3]	
1748689334911	หิวข้าว	hĭw khâaw	I feel hungry now.		[sound:I feel hungry now._574d89.mp3]	
1748689334913	อยากกินข้าว	yàak kin khâaw	I want to eat rice		[sound:I want to eat rice_7f3d06.mp3]	
1748689334915	อยากกินอะไร	yaak kin aray	what do you like to eat		[sound:what do you like to eat_cd7278.mp3]	
1748689334917	อยากกินต้มยำกุ้ง	yàak kin tô̄m yam kûng	I want to eat Tomyamukun		[sound:I want to eat Tomyamukun_1ef51b.mp3]	
1748689334919	ขอต้มยำกุ้ง	khǒr tom yam kûng	Tomyamukun, please.		[sound:Tomyamukun, please._588e4d.mp3]	
1748689334921	เอาไม่เผ็ด	aw mây phèt	Don't make it hard		[sound:Don't make it hard_82c923.mp3]	
1748689334923	เอาพิเศษ	aw phiséet	Lots, please.		[sound:Lots, please._74b1a5.mp3]	
1748689334925	ขอเมนูน่อย	khǒo menuu nòy	Please give me a menu		[sound:Please give me a menu_49aee3.mp3]	
1748689334927	ทานที่นี่	thaan thîi nîi	For here, please.		[sound:For here, please._18cfff.mp3]	
1748689334929	เอากลับบ้าน	aw klàp bâan	Take away, please.		[sound:Take away, please._9f36cb.mp3]	
1748689334931	ชนแก้ว	chon kêew	Toast		[sound:Toast_773207.mp3]	
1748689334933	น่ากิน	nâa kin	It looks delicious		[sound:It looks delicious_de99d6.mp3]	
1748689334935	เผ็ด	phèt	Spicy		[sound:Spicy_687379.mp3]	
1748689334937	คิดเงินด้วย	khít ŋən dûay	Please check out		[sound:Please check out_125a2f.mp3]	
1748689334939	ขอใบเสร็จด้วย	khŏr bay sèt dûay	Receipts, please.		[sound:Receipts, please._aeadcc.mp3]	
1748689334941	ไม่เอาใบเสร็จ	mây aw bay sèet	I don't need a receipt		[sound:I don't need a receipt_384441.mp3]	
1748689334943	อยากซื้อของฝาก	yàak sʉ́ʉ khɔ̌ɔŋ fàak	I want to buy souvenirs.		[sound:I want to buy souvenirs._3eeb18.mp3]	
1748689334945	อยากแลกเงิน	yàak lɛ̂ɛk ŋən	I want to exchange money		[sound:I want to exchange money_761564.mp3]	
1748689334947	อยากกลับโรงแรม	yâak klàp roongrȇem	I want to go back to the hotel		[sound:I want to go back to the hotel_a70d10.mp3]	
1748689334949	อยากไปห้องน้ำ	yàak pay hɔ̂ŋ náam	I need to use the restroom.		[sound:I need to use the restroom._4f18c1.mp3]	
1748689334951	ห้องน้ำอยู่ที่ไหน	hôŋ náam yùu thîi nǎy	Where is the toilet located?		[sound:Where is the toilet located__821660.mp3]	
1748689334953	ATMอยู่ที่ไหน	ee thii em yùu thîi năy	Where are the cash machines? 		[sound:Where are the cash machines_ _95d844.mp3]	
1748689334955	อยู่ที่โน่น	yùu thîi nôon	There it is.		[sound:There it is._e58a7c.mp3]	
1748689334957	เท่าไร	thâwray	(Price) How much is it?/How much is it?		[sound:(Price) How much is it__06f93e.mp3]	
1748689334959	มีบัตรสมาชิกไหม	mii bâht samaachík mái	Do you have a membership card?		[sound:Do you have a membership card__8b3da2.mp3]	
1748689334961	ลองใส่ได้ไหม	lɔɔŋ sày dâay máy	May I try it on?		[sound:May I try it on__a5564c.mp3]	
1748689334963	เอาอันนี้	aw an nîi	Give me this		[sound:Give me this_7d2f2d.mp3]	
1748689334965	กรุณาพูดอีกครั้ง	karunaa phûut ìik khráng	Come again?		[sound:Come again__8ec13a.mp3]	
1748689334967	พูดช้า ๆ หน่อย	phûut cháa cháa nòy	Speak slowly		[sound:Speak slowly_4f1c85.mp3]	
1748689334969	ไม่ใช่	mây chây	The difference		[sound:The difference_45371f.mp3]	
1748689334971	กี่โมง	kii moon	What is the time?		[sound:What is the time__b55974.mp3]	
1748689334973	ตอนนี้กี่โมง	tònn níi kìi moong	What time is it?		[sound:What time is it__77178d.mp3]	
1748689334975	ตั้งแต่กี่โมง	tâng tɛ̀ɛ kìi moong	What time is it from?		[sound:What time is it from__0c9675.mp3]	
1748689334977	ถึงกี่โมง	thǔŋ kìi moon	How long are you going to keep doing this?		[sound:How long are you going to keep doing this__24964f.mp3]	
1748689334979	วันอะไร	wan aray	What day of the week?		[sound:What day of the week__9d2b0c.mp3]	
1748689334981	ไปไหน	pay năy	Where are you going to?		[sound:Where are you going to__5302b4.mp3]	
1748689334983	ไปทำงาน	pay thamŋaan	I'm going to work.		[sound:I'm going to work._069bc1.mp3]	
1748689334985	ทำงานอะไร	thamŋaan aray	What do you do for work?		[sound:What do you do for work__d76f4e.mp3]	
1748689334987	พนักงานบริษัท	phanákŋaan bɔɔrísàt	I work for a company		[sound:I work for a company_5e7e49.mp3]	
1748689334989	อยู่ไทยกี่ปีแล้ว	yuu thay kii pii léew	How many years have you lived in Thailand?		[sound:How many years have you lived in Thailand__d3cf72.mp3]	
1748689334991	อยู่ไทย1ปีเเล้ว	yùu thay nùŋ pii lɛ́ɛw	I have lived in Thailand for a year		[sound:I have lived in Thailand for a year_098c22.mp3]	
1748689334993	วันหยุดทำอะไร	wan yùt tham aray	What do you do on vacation?		[sound:What do you do on vacation__b19039.mp3]	
1748689334995	ไปซื้อของ	pay sūū khǭǹg	I'm going shopping		[sound:I'm going shopping_ff430f.mp3]	
1748689334997	ไม่ทำอะไร	mâi tham aray	Nothing to do!		[sound:Nothing to do!_851f54.mp3]	
1748689334999	อยู่บ้าน	yùu bâan	I'm at home		[sound:I'm at home_1e5919.mp3]	
1748689335001	อยู่ที่ทำงาน	yùu thîi thamŋaan	I'm at work		[sound:I'm at work_eb3509.mp3]	
1748689335003	ไม่สบาย	mâi sabaay	I'm not feeling well		[sound:I'm not feeling well_66c11f.mp3]	
1748689335005	เป็นหวัด	pen wàt	I have a cold		[sound:I have a cold_ef02bc.mp3]	
1748689335007	เมารถ	maw róт	I got car sick		[sound:I got car sick_be3586.mp3]	
1748689335009	รักษาสุขภาพด้วย	ráksăa sùkkhaphâap dûay	Take care of your health		[sound:Take care of your health_4b55b8.mp3]	
1748689335011	มีเวลาไหม	mii weelaa máy	Do you have some time?		[sound:Do you have some time__46328e.mp3]	
1748689335013	ไม่มีเวลา	mây mii weelaa	No time		[sound:No time_92d38d.mp3]	
1748689335015	ขอเวลาหน่อย	khǎw weelaa nɔ̀y	This may take me a little time.		[sound:This may take me a little time._e07ac9.mp3]	
1748689335017	สู้ ๆ	sûu sûu	Doing really great. Just hang in there.		[sound:Doing really great. Just hang in there._3bf605.mp3]	
